Date,return
2012-01,0.02
2012-02,0.06
2012-03,0.06
2012-04,0.07
2012-05,0.07
2012-06,0.05
2012-07,0.07
2012-08,0.09
2012-09,0.07
2012-10,0.11
2012-11,0.13
2012-12,0.04
2013-01,0.05
2013-02,0.08
2013-03,0.08
2013-04,0.05
2013-05,0.02
2013-06,0.03
2013-07,0.02
2013-08,0.04
2013-09,0.02
2013-10,0.11
2013-11,0.05
2013-12,0.02
2014-01,0.02
2014-02,0.05
2014-03,0.05
2014-04,0.02
2014-05,0.03
2014-06,0.02
2014-07,0.02
2014-08,0.03
2014-09,0.01
2014-10,0.02
2014-11,0.04
2014-12,0.03
2015-01,0.02
2015-02,0.02
2015-03,0.02
2015-04,0.02
2015-05,0.01
2015-06,0
2015-07,0.03
2015-08,0.03
2015-09,0
2015-10,0.01
2015-11,0.07
2015-12,0.17
2016-01,0.22
2016-02,0.25
2016-03,0.25
2016-04,0.19
2016-05,0.22
2016-06,0.22
2016-07,0.26
2016-08,0.26
2016-09,0.18
2016-10,0.24
2016-11,0.29
2016-12,0.41
2017-01,0.49
2017-02,0.47
2017-03,0.65
2017-04,0.73
2017-05,0.71
2017-06,0.82
2017-07,0.95
2017-08,0.96
2017-09,0.98
2017-10,0.98
2017-11,1.07
2017-12,1.18
2018-01,1.27
2018-02,1.36
2018-03,1.61
2018-04,1.63
2018-05,1.67
2018-06,1.77
2018-07,1.86
2018-08,1.91
2018-09,2
2018-10,2.14
2018-11,2.19
2018-12,2.32
2019-01,2.36
2019-02,2.39
2019-03,2.41
2019-04,2.38
2019-05,2.36
2019-06,2.18
2019-07,2.11
2019-08,2.03
2019-09,1.95
2019-10,1.7
2019-11,1.55
2019-12,1.52
2020-01,1.5