Date,DG,MRK,CB,NOC,BP,SPY,rates
2012-12-01,-0.1181999999999999,-0.0758465285129812,0.0071942443319106,0.0131934788542793,-0.0028735394096522,0.0018291242418202,3.3333333333333335e-05
2013-01-01,0.0483102971195281,0.0564241020144844,0.06929823047751,-0.0375850980294435,0.0691642908060587,0.0511901748138425,4.166666666666667e-05
2013-02-01,0.0025962569754163,-0.0120231645552596,0.00070311729279,0.0098400828745375,-0.092542632524708,0.0127588780112,6.666666666666667e-05
2013-03-01,0.0914976694000861,0.0344020415521093,0.041925307904032,0.0680572777101096,0.0482672253333056,0.0333750871751525,6.666666666666667e-05
2013-04-01,0.02985365639171,0.0633484487975277,0.0019107339337898,0.0796863270224852,0.0295159400007527,0.0192123255149336,4.166666666666667e-05
2013-05-01,0.0136302361297753,-0.0063829666730644,0.0060578977569878,0.0878003852072983,-0.0158256429277818,0.0236097455239743,1.6666666666666667e-05
2013-06-01,-0.0448863455470899,-0.0053533724695878,-0.0022301181980375,0.0049763806891174,-0.0272663248659985,-0.0185377733595186,2.5e-05
2013-07-01,0.0840768986714257,0.0370291244966978,0.0212337274955165,0.1118356843537793,-0.0071874217926486,0.0516769050202829,1.6666666666666667e-05
2013-08-01,-0.0128040429048487,-0.0182686391867015,-0.040052485447116,0.0022811101951143,-0.0033783784599029,-0.0299923702806793,3.3333333333333335e-05
2013-09-01,0.0461367047223142,0.0067667690969022,0.0665754324375804,0.0324049539093405,0.0176755452221681,0.0266422313464917,1.6666666666666667e-05
2013-10-01,0.0233793840485188,-0.0529300305375,0.020094100472298,0.128595420352815,0.1063526316048688,0.0463067569283601,9.166666666666668e-05
2013-11-01,-0.0145379026399774,0.1051230416793695,0.0769069242056386,0.0480885304048268,0.0109676989247311,0.029637676815881,4.166666666666667e-05
2013-12-01,0.0593607491984675,0.0044149970629498,0.0072971395923053,0.0171281593894212,0.0340353769000372,0.0203867513812154,1.6666666666666667e-05
2014-01-01,-0.06631299734748,0.0583416477110581,-0.0938858407600294,0.0082017449768629,-0.0353837063282511,-0.0352483021793459,1.6666666666666667e-05
2014-02-01,0.0635653764204544,0.0758920583321918,0.0432790223489825,0.0474253211399744,0.0793346572688131,0.0455157723572254,4.166666666666667e-05
2014-03-01,-0.0737896803409122,-0.0038603692564213,0.0121589349496595,0.0194166571876117,-0.0495950000080023,0.0038649526386529,4.166666666666667e-05
2014-04-01,0.017303514780101,0.0315308077486504,0.0329093687241948,-0.015156387141102,0.0523908753592878,0.0069515161475728,1.6666666666666667e-05
2014-05-01,-0.0471296960866353,-0.011953606316204,0.0135848221266614,0.0003291992374421,-0.0033583169371457,0.0232063886485729,2.5e-05
2014-06-01,0.0665675356371799,-0.0001728131372327,-9.644200266556437e-05,-0.0157960177096828,0.0455896720398478,0.0157774969402246,1.6666666666666667e-05
2014-07-01,-0.0371339079997575,-0.0191875846076572,-0.0347155169155887,0.0304271511433709,-0.0716587488151657,-0.0134375893447904,1.6666666666666667e-05
2014-08-01,0.1586094875973203,0.0593937299528899,0.0622378034413146,0.0320435150168778,-0.0230753722059348,0.0394635204197735,2.5e-05
2014-09-01,-0.0450070465695563,-0.0138080235865036,-0.013730828294351,0.0356861654167099,-0.0813126881270903,-0.018384748499361,8.333333333333334e-06
2014-10-01,0.025527687358408,-0.0226045721228739,0.042242775562808,0.0470553448336119,-0.011149078244617,0.0235509080590616,1.6666666666666667e-05
2014-11-01,0.0649433561494607,0.0424577108753188,0.0461115540865995,0.0215278765533841,-0.0952599883861019,0.0274719472880702,3.3333333333333335e-05
2014-12-01,0.0593347185895929,-0.0597682042590894,0.0047227656016359,0.0458384043203634,-0.0305188453713123,-0.0080116024326003,2.5e-05
2015-01-01,-0.0514851365552392,0.0614545062717697,-0.0602367529657926,0.0648619178021705,0.0186254726816754,-0.029629250790137,1.6666666666666667e-05
2015-02-01,0.0829109031586909,-0.028865288799361,0.0560393021122573,0.0558140182697806,0.0672159893270156,0.0562045984889134,1.6666666666666667e-05
2015-03-01,0.0380059747450025,-0.0181073056017335,-0.0221033589666983,-0.0286645332167537,-0.0562258218201212,-0.020079801194725,1.6666666666666667e-05
2015-04-01,-0.0354205108286221,0.0361865212467598,-0.0403623650616623,-0.042992132822161,0.1035540500241869,0.0098339101333981,1.6666666666666667e-05
2015-05-01,-0.0016504332505904,0.0223304408698032,-0.0047667539913404,0.0333679578912988,-0.039388345690454,0.0128561446320971,8.333333333333334e-06
2015-06-01,0.0709464428128636,-0.0650353770124365,-0.0450789149583324,-0.0034551327062816,-0.0361794509449939,-0.0250544331962414,0.0
2015-07-01,0.0338307829645172,0.0356578470029287,0.0697285306845003,0.0906511350106809,-0.0748247766472667,0.0225892342213485,2.5e-05
2015-08-01,-0.0731616869542731,-0.0866689260760232,-0.0607703703439469,-0.0535806616259367,-0.092777925540224,-0.0609501282660333,2.5e-05
2015-09-01,-0.0275204195870698,-0.0828225946935156,0.0121378029703287,0.0134969581807451,-0.0888491923420037,-0.0305559420302112,0.0
2015-10-01,-0.0644672124663939,0.1067017357989801,0.0980657524552079,0.1313648893889405,0.1681937882262365,0.0850596857209287,8.333333333333334e-06
2015-11-01,-0.03482356654081,-0.0301866172359374,0.011537757516842,-0.0074034567243674,-0.0308124081004927,0.0036551196344243,5.833333333333334e-05
2015-12-01,0.0987616359112284,-0.0035842350594563,0.0174140185879672,0.0131465818139806,-0.0965317396839154,-0.0230964921836552,0.0001416666666666
2016-01-01,0.0443856249734677,-0.040704303609366,-0.0323491490346453,-0.0198612363737221,0.0355086052463211,-0.0497866005245155,0.0001833333333333
2016-02-01,-0.0107913405486633,-0.0090783440714553,0.0217564252233131,0.0386901711735672,-0.1013283627225321,-0.0008259498202253,0.0002083333333333
2016-03-01,0.1528619259259258,0.0537741515108283,0.0313338789174575,0.0295494379900662,0.0374699209350293,0.0617896575923708,0.0002083333333333
2016-04-01,-0.0431074075492384,0.0364770157713603,-0.0108266972584691,0.0422435636860101,0.1126574552683896,0.0039412124573527,0.0001583333333333
2016-05-01,0.0975460579882281,0.0258935122281862,0.0742406238398045,0.0310772963996242,-0.064919650689717,0.017011554141312,0.0001833333333333
2016-06-01,0.045606205881953,0.0239957729796498,0.0323829552769689,0.0451873846352319,0.1308916560509556,-0.0017155928653372,0.0001833333333333
2016-07-01,0.0078723191489362,0.0182259767015104,-0.041695392151574,-0.0254183643396542,-0.0312586894541645,0.0364712580956894,0.0002166666666666
2016-08-01,-0.2251424366717845,0.070405769667035,0.0133322527010657,-0.0210497063876262,-0.0156977025757151,0.0011975405581601,0.0002166666666666
2016-09-01,-0.0465877375514105,-0.006051978661993,-0.0100842826754904,0.0088649499596611,0.0383933538572547,-0.0049682674356364,0.00015
2016-10-01,-0.0128590087972284,-0.0591251357542901,0.0107441144330422,0.0703435532181848,0.0110921217292379,-0.0173370316596805,0.0001999999999999
2016-11-01,0.1191200532129137,0.0420640653195285,0.0078740157480314,0.0901746462882095,-0.0151899019743994,0.0368383998564327,0.0002416666666666
2016-12-01,-0.0420331091567511,-0.0379147009530566,0.0321874609374999,-0.0683756956148774,0.0676950338586137,0.0142934655074538,0.0003416666666666
2017-01-01,-0.0033751856352098,0.0529981451806311,-0.0047683168622584,-0.0150485853035636,-0.0374532092709147,0.0178946898308713,0.0004083333333333
2017-02-01,-0.0108372121376318,0.0625907384729638,0.0508022872156708,0.0786187962404505,-0.0572540856031127,0.039291530959836,0.0003916666666666
2017-03-01,-0.0450560686821174,-0.0353726964484494,-0.0138959110356214,-0.0374357527611113,0.0176887392505153,-0.0030870554273816,0.0005416666666666
2017-04-01,0.0427362092613132,-0.0190431690886121,0.0073394495412844,0.0341406455455877,-0.0057937427578216,0.0099261769337792,0.0006083333333333
2017-05-01,0.0093522212811474,0.0446013883200941,0.0432787030965391,0.053911179145478,0.0533217365967366,0.0141129031072504,0.0005916666666666
2017-06-01,-0.0177136260759454,-0.0156658529952703,0.0152943848691335,-0.0096829333782775,-0.0414937736379654,0.0014910578073967,0.0006833333333333
2017-07-01,0.0425857701531846,-0.0032766475262628,0.0074288207652764,0.0250088201670342,0.0141413267450893,0.0205541808864244,0.0007916666666666
2017-08-01,-0.0345929465357666,-0.0003130383294197,-0.0344121859833039,0.0345076039503744,-0.0116675871277061,0.0029177006456586,0.0007999999999999
2017-09-01,0.1170066873485857,0.0026620446574681,0.0079904187242316,0.0569781070232651,0.1065361359055572,0.0151116850153201,0.0008166666666666
2017-10-01,-0.0025910794845992,-0.1396220306066412,0.0580147585124919,0.0271444389436101,0.0582877439500391,0.0235640572155244,0.0008166666666666
